,Gold,Crude Oil,Fed Funds Rate
2014-12-31,1183.9000244140625,53.27000045776367,0.06
2015-01-02,1186.0,52.689998626708984,0.12
2015-01-05,1203.9000244140625,50.040000915527344,0.12
2015-01-06,1219.300048828125,47.93000030517578,0.12
2015-01-07,1210.5999755859375,48.650001525878906,0.12
2015-01-08,1208.4000244140625,48.790000915527344,0.12
2015-01-09,1216.0,48.36000061035156,0.12
2015-01-12,1232.699951171875,46.06999969482422,0.12
2015-01-13,1234.300048828125,45.88999938964844,0.12
2015-01-14,1234.4000244140625,48.47999954223633,0.12
2015-01-15,1264.699951171875,46.25,0.12
2015-01-16,1276.9000244140625,48.689998626708984,0.13
2015-01-20,1294.199951171875,46.38999938964844,0.12
2015-01-21,1293.699951171875,47.779998779296875,0.12
2015-01-22,1300.699951171875,46.310001373291016,0.12
2015-01-23,1292.5999755859375,45.59000015258789,0.12
2015-01-26,1279.4000244140625,45.150001525878906,0.12
2015-01-27,1291.699951171875,46.22999954223633,0.11
2015-01-28,1285.9000244140625,44.45000076293945,0.12
2015-01-29,1254.5999755859375,44.529998779296875,0.11
2015-01-30,1278.5,48.2400016784668,0.06
2015-02-02,1276.199951171875,49.56999969482422,0.12
2015-02-03,1259.699951171875,53.04999923706055,0.12
2015-02-04,1263.800048828125,48.45000076293945,0.11
2015-02-05,1262.0,50.47999954223633,0.12
2015-02-06,1233.9000244140625,51.689998626708984,0.11
2015-02-09,1240.800048828125,52.86000061035156,0.12
2015-02-10,1231.5999755859375,50.02000045776367,0.12
2015-02-11,1219.0,48.84000015258789,0.12
2015-02-12,1220.0999755859375,51.209999084472656,0.12
2015-02-13,1226.5,52.779998779296875,0.12
2015-02-17,1208.0999755859375,53.529998779296875,0.12
2015-02-18,1199.699951171875,52.13999938964844,0.12
2015-02-19,1207.0999755859375,51.15999984741211,0.12
2015-02-20,1204.4000244140625,50.34000015258789,0.12
2015-02-23,1200.300048828125,49.45000076293945,0.11
2015-02-24,1196.9000244140625,49.279998779296875,0.11
2015-02-25,1201.0,50.9900016784668,0.11
2015-02-26,1209.5999755859375,48.16999816894531,0.11
2015-02-27,1212.5999755859375,49.7599983215332,0.06
2015-03-02,1207.699951171875,49.59000015258789,0.12
2015-03-03,1204.0,50.52000045776367,0.12
2015-03-04,1200.5999755859375,51.529998779296875,0.11
2015-03-05,1195.9000244140625,50.7599983215332,0.11
2015-03-06,1164.0999755859375,49.61000061035156,0.12
2015-03-09,1166.4000244140625,50.0,0.12
2015-03-10,1160.0999755859375,48.290000915527344,0.12
2015-03-11,1150.699951171875,48.16999816894531,0.11
2015-03-12,1152.0999755859375,47.04999923706055,0.11
2015-03-13,1152.5999755859375,44.84000015258789,0.11
2015-03-16,1153.300048828125,43.880001068115234,0.12
2015-03-17,1148.300048828125,43.459999084472656,0.12
2015-03-18,1151.4000244140625,44.65999984741211,0.11
2015-03-19,1169.0999755859375,43.959999084472656,0.12
2015-03-20,1184.800048828125,45.720001220703125,0.12
2015-03-23,1188.0,47.45000076293945,0.12
2015-03-24,1191.699951171875,47.5099983215332,0.11
2015-03-25,1197.300048828125,49.209999084472656,0.12
2015-03-26,1205.0999755859375,51.43000030517578,0.11
2015-03-27,1199.800048828125,48.869998931884766,0.12
2015-03-30,1184.800048828125,48.68000030517578,0.12
2015-03-31,1183.0999755859375,47.599998474121094,0.06
2015-04-01,1208.0999755859375,50.09000015258789,0.12
2015-04-02,1200.9000244140625,49.13999938964844,0.12
2015-04-06,1218.5999755859375,52.13999938964844,0.13
2015-04-07,1210.5999755859375,53.97999954223633,0.12
2015-04-08,1203.0999755859375,50.41999816894531,0.12
2015-04-09,1193.5999755859375,50.790000915527344,0.12
2015-04-10,1204.5999755859375,51.63999938964844,0.12
2015-04-13,1199.300048828125,51.90999984741211,0.13
2015-04-14,1192.800048828125,53.290000915527344,0.13
2015-04-15,1201.5,56.38999938964844,0.13
2015-04-16,1198.0,56.709999084472656,0.13
2015-04-17,1202.9000244140625,55.7400016784668,0.13
2015-04-20,1193.5,56.380001068115234,0.13
2015-04-21,1202.9000244140625,55.2599983215332,0.13
2015-04-22,1186.9000244140625,56.15999984741211,0.13
2015-04-23,1194.4000244140625,57.7400016784668,0.13
2015-04-24,1175.199951171875,57.150001525878906,0.13
2015-04-27,1203.300048828125,56.9900016784668,0.13
2015-04-28,1214.0,57.060001373291016,0.13
2015-04-29,1209.800048828125,58.58000183105469,0.13
2015-04-30,1182.4000244140625,59.630001068115234,0.08
2015-05-01,1174.5,59.150001525878906,0.13
2015-05-04,1186.800048828125,58.93000030517578,0.13
2015-05-05,1193.199951171875,60.400001525878906,0.13
2015-05-06,1190.300048828125,60.93000030517578,0.13
2015-05-07,1182.4000244140625,58.939998626708984,0.13
2015-05-08,1189.0999755859375,59.38999938964844,0.13
2015-05-11,1183.199951171875,59.25,0.13
2015-05-12,1192.5999755859375,60.75,0.13
2015-05-13,1218.4000244140625,60.5,0.13
2015-05-14,1225.4000244140625,59.880001068115234,0.13
2015-05-15,1225.5,59.689998626708984,0.13
2015-05-18,1227.800048828125,59.43000030517578,0.13
2015-05-19,1206.9000244140625,57.2599983215332,0.12
2015-05-20,1208.9000244140625,58.97999954223633,0.12
2015-05-21,1204.4000244140625,60.720001220703125,0.12
2015-05-22,1204.300048828125,59.720001220703125,0.13
2015-05-26,1187.199951171875,58.029998779296875,0.12
2015-05-27,1185.9000244140625,57.5099983215332,0.12
2015-05-28,1188.0999755859375,57.68000030517578,0.12
2015-05-29,1189.4000244140625,60.29999923706055,0.08
2015-06-01,1188.300048828125,60.20000076293945,0.12
2015-06-02,1194.0999755859375,61.2599983215332,0.12
2015-06-03,1184.699951171875,59.63999938964844,0.13
2015-06-04,1174.9000244140625,58.0,0.13
2015-06-05,1167.800048828125,59.130001068115234,0.13
2015-06-08,1173.199951171875,58.13999938964844,0.13
2015-06-09,1177.300048828125,60.13999938964844,0.13
2015-06-10,1186.0999755859375,61.43000030517578,0.13
2015-06-11,1179.9000244140625,60.77000045776367,0.13
2015-06-12,1178.800048828125,59.959999084472656,0.13
2015-06-15,1185.300048828125,59.52000045776367,0.13
2015-06-16,1180.5,59.970001220703125,0.14
2015-06-17,1176.4000244140625,59.91999816894531,0.14
2015-06-18,1201.5,60.45000076293945,0.14
2015-06-19,1201.5,59.61000061035156,0.13
2015-06-22,1183.699951171875,59.68000030517578,0.13
2015-06-23,1176.199951171875,61.0099983215332,0.13
2015-06-24,1172.5999755859375,60.27000045776367,0.13
2015-06-25,1171.5,59.70000076293945,0.13
2015-06-26,1172.9000244140625,59.630001068115234,0.13
2015-06-29,1178.5,58.33000183105469,0.14
2015-06-30,1171.5,59.470001220703125,0.08
2015-07-01,1169.0,56.959999084472656,0.13
2015-07-02,1163.0,56.93000030517578,0.13
2015-07-06,1172.9000244140625,52.529998779296875,0.13
2015-07-07,1152.4000244140625,52.33000183105469,0.13
